n,bs,bls,c,k,a
13,"(8, 8)","(8, 8)","(2, 2)",4,10.2
13,"(8, 8)","(8, 8)","(2, 2)",10,11.6
13,"(8, 8)","(8, 8)","(2, 2)",25 ,12.0
13,"(8, 8)","(8, 8)","(2, 2)",18,11.7
13,"(8, 8)","(8, 8)","(4, 4)",7,9.5
13,"(8, 8)","(8, 8)","(4, 4)",25,9.6
13,"(8, 8)","(8, 8)","(4, 4)",14,10.3
13,"(8, 8)","(8, 8)","(4, 4)",18,10.2
13,"(8, 8)","(8, 8)","(4, 4)",4,8.9
13,"(8, 8)","(8, 8)","(4, 4)",10,10.4
13,"(8, 8)","(8, 8)","(8, 8)",10,7.0
13,"(8, 8)","(8, 8)","(8, 8)",18,6.7
13,"(8, 8)","(8, 8)","(8, 8)",14,7.1
13,"(8, 8)","(8, 8)","(8, 8)",25,7.3
13,"(8, 8)","(8, 8)","(8, 8)",4,6.9
13,"(8, 8)","(8, 8)","(8, 8)",7,7.0
10,"(8, 8)","(1, 1)","(2, 2)",22,13.1
10,"(8, 8)","(1, 1)","(2, 2)",18,12.4
10,"(8, 8)","(1, 1)","(2, 2)",50,12.7
10,"(8, 8)","(1, 1)","(2, 2)",20,12.6
10,"(8, 8)","(1, 1)","(2, 2)",27,13.0
10,"(8, 8)","(1, 1)","(2, 2)",30,12.8
10,"(8, 8)","(1, 1)","(2, 2)",25,13.4
10,"(8, 8)","(4, 4)","(2, 2)",30,13.7
10,"(8, 8)","(4, 4)","(2, 2)",18,13.8
10,"(8, 8)","(4, 4)","(2, 2)",50,13.4
10,"(8, 8)","(4, 4)","(2, 2)",27,13.7
10,"(8, 8)","(4, 4)","(2, 2)",20,13.2
10,"(8, 8)","(4, 4)","(2, 2)",22,13.9
10,"(8, 8)","(4, 4)","(2, 2)",25,13.9
12,"(8, 8)","(1, 1)","(2, 2)",27,13.5
12,"(8, 8)","(1, 1)","(2, 2)",20,13.1
12,"(8, 8)","(1, 1)","(2, 2)",18,12.9
12,"(8, 8)","(1, 1)","(2, 2)",22,13.4
12,"(8, 8)","(1, 1)","(2, 2)",30,12.8
12,"(8, 8)","(1, 1)","(2, 2)",25,13.3
12,"(8, 8)","(1, 1)","(2, 2)",50,13.8
12,"(8, 8)","(4, 4)","(2, 2)",22,14.4
12,"(8, 8)","(4, 4)","(2, 2)",30,13.9
12,"(8, 8)","(4, 4)","(2, 2)",50,13.2
12,"(8, 8)","(4, 4)","(2, 2)",20,13.8
12,"(8, 8)","(4, 4)","(2, 2)",18,14.5
12,"(8, 8)","(4, 4)","(2, 2)",25,13.9
12,"(8, 8)","(4, 4)","(2, 2)",27,14.2
9,"(8, 8)","(4, 4)","(2, 2)",25,21.2
9,"(8, 8)","(4, 4)","(2, 2)",22,20.8
9,"(8, 8)","(4, 4)","(2, 2)",14,22.7
9,"(8, 8)","(4, 4)","(2, 2)",10,23.6
9,"(8, 8)","(4, 4)","(2, 2)",27,21.0
9,"(8, 8)","(4, 4)","(2, 2)",18,21.2
11,"(8, 8)","(4, 4)","(2, 2)",27,20.7
11,"(8, 8)","(4, 4)","(2, 2)",10,24.0
11,"(8, 8)","(4, 4)","(2, 2)",22,21.3
11,"(8, 8)","(4, 4)","(2, 2)",18,22.3
11,"(8, 8)","(4, 4)","(2, 2)",25,21.2
11,"(8, 8)","(4, 4)","(2, 2)",14,22.6
12,"(8, 8)","(4, 4)","(2, 2)",27,21.2
12,"(8, 8)","(4, 4)","(2, 2)",25,21.9
12,"(8, 8)","(4, 4)","(2, 2)",14,23.2
12,"(8, 8)","(4, 4)","(2, 2)",18,22.2
12,"(8, 8)","(4, 4)","(2, 2)",10,24.6
12,"(8, 8)","(4, 4)","(2, 2)",22,21.8
